name,city,address,latitude,longitude,google_rating,google_review_count,place_id,category
Antoinette Hotel Wimbledon,London,"249-263 The Broadway, London",51.4192751,-0.195385,4.1,535.0,ChIJk-2nuboIdkgRmRbtnDqucwk,hotels
The Wimbledon Hotel,London,"78 Worple Road, London",51.41703709999999,-0.2157923,2.8,102.0,ChIJIT8okaUIdkgRU-MxYN-9gW8,hotels
Hotel du Vin Wimbledon,London,"Cannizaro House, West Side Common, London",51.4242719,-0.2292964,4.0,927.0,ChIJFfGlt-yn2EcRzaNY0jW3uX8,hotels
The Fox & Grapes Wimbledon,London,"9 Camp Road, London",51.42642009999999,-0.2300304,4.2,693.0,ChIJdyHP3ltvdkgRQF9shcv16-s,hotels
Dog & Fox (Hotel),London,"24 High Street Wimbledon, London",51.4251551,-0.2175226,4.2,1630.0,ChIJR6ITss4IdkgRPuV1Zw94qLI,hotels
Premier Inn London Wimbledon South hotel,London,"27 Chapter Way, London",51.41411749999999,-0.1802016,4.0,1337.0,ChIJ4dX96B4GdkgRxiHmBHPxqrI,hotels
"Holiday Inn Express London - Wimbledon South, an IHG Hotel",London,"200 High Street Colliers Wood, London",51.41780010000002,-0.1789543,3.9,953.0,ChIJc4QeqhsGdkgR0Bkn2FHOaYM,hotels
Rose & Crown (Hotel),London,"55 High Street Wimbledon, London",51.425771,-0.2202563,4.3,1064.0,ChIJP2ru2s0IdkgRy1ATUOQiVSc,hotels
Justin James Hotel,London,"43 Worple Road, London",51.4202272,-0.2112561,4.0,88.0,ChIJy8iAAMgIdkgR7E-XietMJBA,hotels
Cosy Retreat - The Green Morden,London,"73 The Green, Morden",51.3989489,-0.2171558,5.0,2.0,ChIJi3o24_EIdkgRyLpZ2ff5aq0,hotels
Circle Self Catering House,London,"31 Circle Gardens, London",51.4055583,-0.1987439,,,ChIJ6-Rc4ZkIdkgRIugJjYbZBrw,hotels
WIMBLEDON BED AND BREAKFAST,London,"131 Queen's Road, London",51.4240771,-0.1963257,4.8,56.0,ChIJf-yhX64IdkgRS8wI0RupwVk,hotels
Worcester House Hotel,London,"38 Alwyne Road, London",51.424362,-0.2056132,4.0,2.0,ChIJHzust7YIdkgRxtTlYjXh4WQ,hotels
Blue Stone Hotels,London,"203 Blackshaw Road, London",51.42595600000001,-0.178437,4.5,4.0,ChIJuddIjgYGdkgRM0Kl_iwILJ0,hotels
Executive Roomspace - The Courtyard,London,"9 Francis Grove, London",51.4204614,-0.2098424,,,ChIJ9b6xGLgIdkgRedYqxan6J-k,hotels
Travelodge London Wimbledon Morden,London,"A24 Epsom Road, Morden",51.3918523,-0.2047176,3.7,546.0,ChIJWaM50VoIdkgRb4-rrFTIlJQ,hotels
Gravesend Apartments,London,"The Apartment Service, Francis Grove, London",51.42011279999999,-0.2088201,3.7,12.0,ChIJT9JabhO22EcR8TbRowlEL5E,hotels
iHotel Choice,London,"50 Moffat Court, London",51.4274115,-0.1966427,,,ChIJedOLsa0IdkgRYxI-_8L5uOI,hotels
Executive Roomspace Limited,London,"Suite 1, First Floor, Barry House, 20-22 Worple Road, London",51.42066840000001,-0.2097328,,,ChIJ-wk3J7gIdkgRfkbf7OTd8rw,hotels
The Apartment Service,London,"5-6 Francis Grove, London",51.42011279999999,-0.2088201,4.9,9.0,ChIJlbqyJ7gIdkgR8mQIyjKhsFw,hotels
Roomspace Serviced Apartments - Cascades Court,London,"Hartfield Crescent, SW19 3RL",51.4195813,-0.206964,3.6,8.0,ChIJ1c7kxLkIdkgRJyTjnyXt2Co,hotels
A Place in Rome,London,"25 Bronson Road, West Wimbledon, London",51.40983050000001,-0.2186382,5.0,3.0,ChIJtwE5dsIIdkgR1XpxS4YOLp4,hotels
Travelodge London Raynes Park,London,"Durham House, Amity Grove, London",51.4098526,-0.2318593,3.9,590.0,ChIJo7z51t8IdkgRtMB1MkC7Bik,hotels
38 Chapman Square Apartment - Wimbledon,London,"68 Chapman Square, London",51.43970519999999,-0.2231641,5.0,4.0,ChIJV8fX3i8PdkgRenUw1htzbpw,hotels
Wimbledon Homes Bed & Breakfast,London,"21 Farquhar Road, London",51.4357151,-0.1988316,3.0,1.0,ChIJbR7a-FEPdkgRTIcyOEg7hGU,hotels
East Stuff Ltd,London,"Wimbledon Stadium Business Centre, Studio 1, Stadium Studios, Unit 32 Riverside Road, London",51.4333494,-0.1898623,4.3,6.0,ChIJ32HeB1UPdkgR5cpPjCZt-rU,hotels
Monteacute House Ltd,London,"200 High Street Colliers Wood, London",51.4177042,-0.1789442,,,ChIJvbbfphsGdkgR6PUym4TPNgE,hotels
Pelican London Hotel & Residence,London,"203 Blackshaw Road, London",51.4259425,-0.1782331,3.9,693.0,ChIJ-epXeQYGdkgRmsfhnKqayWA,hotels
Marple Cottage Guest House,London,"113 Woodside, London",51.4271459,-0.2018929,4.7,74.0,ChIJESgr27MIdkgRhNLf2dEaLog,hotels
Compton Guest House,London,"65 Compton Road, London",51.4239919,-0.2050223,3.8,10.0,ChIJQx1eM7EIdkgRue4UBgIdb14,hotels
Goodenough Guesthouse Hotel,London,"4 Goodenough Road, London",51.4167925,-0.2092977,4.7,27.0,ChIJJ_BGkLgIdkgRfHMMVHZ3YpI,hotels
Ridgmount Apartments,London,"De Veer House, 7-9 Darlaston Road, London",51.4170975,-0.2175147,5.0,3.0,ChIJ1UrvmLkJdkgRzzSBPWHw_zM,hotels
Wimbledon Short Stays - Savona Close,London,"13 Savona Close, London",51.418993,-0.2180881,,,ChIJ65UDNf4JdkgR23_D6auTTw4,hotels
E&M,London,"37 Denmark Road, London",51.4200869,-0.2181091,,,ChIJPeFvKT4JdkgRLa_Lo3Xql1E,hotels
Queens Lodge,London,"34 Ethelbert Road, London",51.41384,-0.2193586,4.0,13.0,ChIJU8ZcnsMIdkgR6X_OY8aNkyc,hotels
Carolia Westminster Hotel Limited,London,"Beacon House, 26 Worple Road, London",51.42023040000001,-0.2102919,,,ChIJq6qaArgIdkgRiS0gZfLDXyg,hotels
Travelodge London Wimbledon Central,London,"27 Hartfield Road, London",51.4196086,-0.2057502,4.3,303.0,ChIJQeU2EGMJdkgRawR7Ur93G_Y,hotels
Wimbledon Holiday Lets,London,"69 Woodside, London",51.4231576,-0.2089899,4.3,29.0,ChIJz9CrTrYIdkgRsh8g7PF_kIU,hotels
Brickyard Cottage,London,"50-51 Greater High Street Wimbledon, UK, High Street, London",51.42524969999999,-0.2209402,,,ChIJecNrdM4IdkgRJ5UTgD8etQo,hotels
First Serve West Wimbledon,London,"10 Carlton Park Avenue, London",51.4093701,-0.2254694,,,ChIJeagHgucIdkgRCIpBxEn-IuE,hotels
Royal Thames Suites,London,"West Side Common, London",51.4246326,-0.2280629999999999,,,ChIJHR4Z2tEJdkgRFY_wX6zmwhc,hotels
Collingham House,London,"Wibbas Down Inn, 12 Gladstone Road, London",51.41889309999999,-0.2024941,5.0,1.0,ChIJZyXoXboIdkgRwuVyDNzheMI,hotels
Antoinette Hotel,London,United Kingdom,51.4183623,-0.2010836,,,ChIJ3VJv77oIdkgREtynT_CgH28,hotels
Kings Lodge,London,"3 King's Road, London",51.42003039999999,-0.2015195,,,ChIJL1yiC4AJdkgRAF9MISNMZEk,hotels
IKS Hotels Ltd,London,"2nd Floor, Beaumont House, 1b Lambton Road, London",51.40996229999999,-0.2303235,,,ChIJAQDEJt4IdkgR1hR96S2XdsE,hotels
Arbury court,London,"173 Kingston Road, 1LHUK",51.4148776,-0.2011693,,,ChIJPeWxCAAJdkgRwiR452DMYBo,hotels
Premier Inn London Wimbledon (Broadway) hotel,London,"153 163 The Broadway, London",51.4189637,-0.1987,4.4,669.0,ChIJGTBBVmoJdkgRV0mo9NjaZ1Y,hotels
Oackly House,London,"Oakley House, London",51.4190967,-0.2377752,,,ChIJ___zNiYJdkgRz23HUMz2Uj0,hotels
On Site Stays Serviced Accommodation & Apartments Wimbledon,London,"92 Alexandra Road, London",51.4265311,-0.2010848,5.0,1.0,ChIJlfg7iaYJdkgRLmEALA4bci8,hotels
"3 Cedar Park Gardens, Wimbledon, London",London,"3 Cedar Park Gardens, London",51.4254426,-0.2382881000000001,5.0,1.0,ChIJ-WXw2CsJdkgRz8USqB5Zw-w,hotels
Em&Aur Maisonette,London,"20 Heyford Avenue, London",51.40302979999999,-0.2061771,,,ChIJAfP8wJMIdkgRCG8t06TPGgM,hotels
TDM Bachelot Lettings Ltd,London,"10 Hamilton Road, London",51.418125,-0.191689,1.0,4.0,ChIJy8G8XaYIdkgRjRjl7Lu-R50,hotels
Wimbledon Accommodation Ltd.,London,"23 The Crescent, London",51.43442450000001,-0.1973937,5.0,2.0,ChIJ5R1gZ1IPdkgRcNw9NpozLSU,hotels
Sun of Love Villas,London,"123 Monkleigh Road, Morden",51.3992788,-0.2122926,,,ChIJpWlpb-0IdkgRBvo2YrRhBDM,hotels
Maritim Hotels,London,"Portchester Court, 237 South Park Road, London",51.4210712,-0.1890401,,,ChIJebgObagIdkgR12ao7VuxhYY,hotels
Meadowside,London,"Oakway, London",51.3985801,-0.2278236,,,ChIJ_ycLWvsIdkgR5QlPBvi-ATs,hotels
Roomhub,London,"12a Deer Park Road, London",51.408604,-0.188471,,,ChIJxX2SFfcJdkgR2O5CzedzrEY,hotels
LAURENTA PROPERTIES,London,"Office 9, Dalton House, 60 Windsor Avenue, London",51.4113723,-0.1867094,,,ChIJVVWV3B8GdkgRhNok-BzlmQo,hotels
Simila Cyprus Holiday Rentals,London,"60 Windsor Avenue, London",51.4113723,-0.1867094,5.0,9.0,ChIJK-HdOyYHdkgRIi9IHEvZRvY,hotels
Luxury Lifestyle Experts,London,"Zeal House, 8 Deer Park Road, London",51.4090762,-0.1879731,,,ChIJG2RvU6ccdkgRWATnVpFT4Rg,hotels
Thirsk Tooting Concept Studios by Allô Housing,London,"40 Thirsk Road, London",51.417434,-0.1578468,2.7,13.0,ChIJAQB7gW4GdkgRSh9r1I_Jbt8,hotels
